scf	len	male_coverage	female_coverage	chr
LJIJ01001489.1	43010	88.00	42.22	A
LJIJ01001490.1	43000	116.06	30.24	A
LJIJ01001491.1	42993	65.94	60.16	X
LJIJ01001492.1	42970	31.49	37.62	X
LJIJ01001493.1	42922	1.97	35.43	X
LJIJ01001494.1	42914	82.41	47.33	A
LJIJ01001495.1	42893	109.68	58.47	A
LJIJ01001496.1	42859	105.40	57.63	A
LJIJ01001497.1	42826	166.70	127.77	A
LJIJ01001498.1	42823	78.96	49.81	A
LJIJ01001499.1	42779	86.72	41.90	A
LJIJ01001500.1	42773	87.90	41.84	A
LJIJ01001501.1	42769	97.14	49.65	A
LJIJ01001502.1	42647	61.17	43.12	A
LJIJ01001503.1	42640	62.76	54.42	X
LJIJ01001504.1	42619	97.74	55.05	A
LJIJ01001505.1	42619	66.28	38.23	A
LJIJ01001506.1	42516	77.65	44.46	A
LJIJ01001507.1	42508	115.33	40.32	A
LJIJ01001508.1	42500	46.70	53.37	X
LJIJ01001509.1	42487	118.87	55.47	A
LJIJ01001510.1	42483	69.76	65.86	X
LJIJ01001511.1	42470	86.81	53.45	A
LJIJ01001512.1	42464	84.72	50.97	A
LJIJ01001513.1	42420	82.13	39.26	A
LJIJ01001514.1	42385	50.92	53.98	X
LJIJ01001515.1	42293	76.33	35.20	A
LJIJ01001516.1	42263	78.25	41.38	A
LJIJ01001517.1	42252	5.75	106.66	X
LJIJ01001518.1	42241	44.39	71.90	X
LJIJ01001519.1	42234	107.91	56.01	A
LJIJ01001520.1	42208	59.63	49.61	A
LJIJ01001521.1	42206	91.48	50.80	A
LJIJ01001522.1	42040	34.95	65.25	X
LJIJ01001523.1	42017	102.17	50.30	A
LJIJ01001524.1	41989	52.06	55.45	X
LJIJ01001525.1	41981	52.28	52.54	X
LJIJ01001526.1	41979	104.57	57.50	A
LJIJ01001527.1	41976	96.62	53.83	A
LJIJ01001528.1	41972	137.40	46.99	A
LJIJ01001529.1	41884	93.23	50.50	A
LJIJ01001530.1	41877	64.15	38.87	A
LJIJ01001531.1	41866	68.69	42.60	A
LJIJ01001532.1	41811	92.64	51.12	A
LJIJ01001533.1	41781	81.20	41.63	A
LJIJ01001534.1	41771	91.76	49.82	A
LJIJ01001535.1	41762	123.43	94.59	A
LJIJ01001536.1	41726	41.93	78.07	X
LJIJ01001537.1	41699	84.18	43.50	A
LJIJ01001538.1	41698	87.22	72.97	X
LJIJ01001539.1	41687	77.16	54.34	A
LJIJ01001540.1	41653	95.10	45.89	A
LJIJ01001541.1	41628	64.55	33.53	A
LJIJ01001542.1	41620	99.76	56.61	A
LJIJ01001543.1	41610	92.01	53.26	A
LJIJ01001544.1	41607	98.02	57.52	A
LJIJ01001545.1	41607	86.70	50.53	A
LJIJ01001546.1	41604	119.55	67.97	A
LJIJ01001547.1	41598	48.86	55.09	X
LJIJ01001548.1	41579	100.40	56.73	A
LJIJ01001549.1	41427	100.03	57.32	A
LJIJ01001550.1	41426	94.89	56.12	A
LJIJ01001551.1	41411	113.71	75.68	A
LJIJ01001552.1	41392	96.21	50.30	A
LJIJ01001553.1	41376	101.23	50.86	A
LJIJ01001554.1	41372	56.20	57.56	X
LJIJ01001555.1	41352	120.12	59.98	A
LJIJ01001556.1	41315	118.71	60.25	A
LJIJ01001557.1	41314	96.23	50.95	A
LJIJ01001558.1	41291	84.82	49.08	A
LJIJ01001559.1	41278	107.28	52.94	A
LJIJ01001560.1	41228	62.87	45.09	A
LJIJ01001561.1	41209	68.03	45.76	A
LJIJ01001562.1	41208	83.69	39.37	A
LJIJ01001563.1	41205	92.65	58.37	A
LJIJ01001564.1	41133	104.26	54.69	A
LJIJ01001565.1	41113	90.05	51.85	A
LJIJ01001566.1	41109	89.01	43.14	A
LJIJ01001567.1	41083	112.19	59.22	A
LJIJ01001568.1	41060	87.36	50.61	A
LJIJ01001569.1	41059	38.60	53.40	X
LJIJ01001570.1	41034	64.54	56.12	X
LJIJ01001571.1	41029	84.76	48.51	A
LJIJ01001572.1	41022	83.38	73.03	X
LJIJ01001573.1	40987	74.10	54.52	A
LJIJ01001574.1	40973	69.84	90.11	X
LJIJ01001575.1	40930	71.14	63.60	X
LJIJ01001576.1	40908	103.86	55.17	A
LJIJ01001577.1	40903	90.94	49.66	A
LJIJ01001578.1	40892	74.77	47.59	A
LJIJ01001579.1	40838	51.49	29.32	A
LJIJ01001580.1	40820	86.19	53.37	A
LJIJ01001581.1	40813	93.47	59.24	A
LJIJ01001582.1	40794	107.53	62.10	A
LJIJ01001583.1	40750	93.73	48.16	A
LJIJ01001584.1	40729	93.02	52.05	A
LJIJ01001585.1	40696	74.93	44.56	A
LJIJ01001586.1	40677	102.51	59.54	A
LJIJ01001587.1	40654	57.29	29.01	A
LJIJ01001588.1	40617	85.63	61.21	A
LJIJ01001589.1	40614	87.84	46.03	A
LJIJ01001590.1	40604	101.02	54.53	A
LJIJ01001591.1	40528	105.14	52.89	A
LJIJ01001592.1	40494	64.39	38.69	A
LJIJ01001593.1	40492	87.28	50.78	A
LJIJ01001594.1	40488	82.98	60.37	A
LJIJ01001595.1	40466	94.98	57.17	A
LJIJ01001596.1	40413	93.72	50.78	A
LJIJ01001597.1	40385	49.00	50.40	X
LJIJ01001598.1	40324	55.39	67.45	X
LJIJ01001599.1	40302	147.83	57.73	A
LJIJ01001600.1	40261	89.68	44.06	A
LJIJ01001601.1	40207	64.37	35.27	A
LJIJ01001602.1	40139	130.04	57.01	A
LJIJ01001603.1	40111	60.84	67.35	X
LJIJ01001604.1	40102	88.66	74.02	A
LJIJ01001605.1	40085	61.03	51.70	X
LJIJ01001606.1	40084	82.87	47.98	A
LJIJ01001607.1	40063	80.05	67.51	X
LJIJ01001608.1	40038	93.17	50.08	A
LJIJ01001609.1	40036	71.29	39.29	A
LJIJ01001610.1	40025	49.22	53.84	X
LJIJ01001611.1	40020	332.46	36.71	A
LJIJ01001612.1	39932	130.03	81.33	A
LJIJ01001613.1	39923	104.96	52.94	A
LJIJ01001614.1	39921	80.00	43.36	A
LJIJ01001615.1	39916	102.66	51.60	A
LJIJ01001616.1	39911	66.55	55.10	A
LJIJ01001617.1	39897	58.01	62.69	X
LJIJ01001618.1	39887	93.69	51.67	A
LJIJ01001619.1	39872	95.68	53.36	A
LJIJ01001620.1	39869	73.24	76.76	X
LJIJ01001621.1	39864	43.66	58.49	X
LJIJ01001622.1	39844	83.90	46.35	A
LJIJ01001623.1	39838	84.58	36.11	A
LJIJ01001624.1	39833	95.60	52.19	A
LJIJ01001625.1	39797	89.74	67.48	A
LJIJ01001626.1	39759	94.34	55.06	A
LJIJ01001627.1	39729	78.56	43.51	A
LJIJ01001628.1	39715	102.01	60.57	A
LJIJ01001629.1	39679	76.95	58.95	A
LJIJ01001630.1	39577	77.74	72.94	X
LJIJ01001631.1	39567	44.22	45.00	X
LJIJ01001632.1	39558	506.90	127.66	A
LJIJ01001633.1	39535	116.63	82.88	A
LJIJ01001634.1	39520	114.95	46.56	A
LJIJ01001635.1	39482	101.15	68.16	A
LJIJ01001636.1	39435	103.06	61.09	A
LJIJ01001637.1	39410	42.88	47.80	X
LJIJ01001638.1	39409	77.60	41.12	A
LJIJ01001639.1	39405	97.20	48.27	A
LJIJ01001640.1	39390	13.80	38.19	X
LJIJ01001641.1	39380	118.43	75.68	A
LJIJ01001642.1	39367	75.11	68.31	X
LJIJ01001643.1	39364	96.14	54.01	A
LJIJ01001644.1	39228	89.06	52.65	A
LJIJ01001645.1	39220	79.67	74.31	X
LJIJ01001646.1	39206	69.68	40.05	A
LJIJ01001647.1	39184	130.86	59.34	A
LJIJ01001648.1	39166	92.99	54.78	A
LJIJ01001649.1	39116	90.14	50.13	A
LJIJ01001650.1	39095	64.76	40.55	A
LJIJ01001651.1	39091	88.76	72.68	A
LJIJ01001652.1	39017	50.65	54.94	X
LJIJ01001653.1	39017	45.52	58.92	X
LJIJ01001654.1	39015	65.65	38.28	A
LJIJ01001655.1	39012	101.19	32.99	A
LJIJ01001656.1	38987	127.31	79.19	A
LJIJ01001657.1	38958	57.86	32.15	A
LJIJ01001658.1	38947	76.41	52.07	A
LJIJ01001659.1	38940	52.59	48.87	X
LJIJ01001660.1	38926	68.90	49.80	A
LJIJ01001661.1	38922	55.40	47.46	X
LJIJ01001662.1	38908	92.13	32.66	A
LJIJ01001663.1	38894	84.72	44.32	A
LJIJ01001664.1	38855	157.96	53.35	A
LJIJ01001665.1	38845	78.26	47.19	A
LJIJ01001666.1	38843	240.62	114.34	A
LJIJ01001667.1	38830	57.36	37.54	A
LJIJ01001668.1	38810	104.76	54.96	A
LJIJ01001669.1	38803	99.64	54.02	A
LJIJ01001670.1	38753	93.15	49.24	A
LJIJ01001671.1	38749	72.81	33.38	A
LJIJ01001672.1	38749	65.37	39.67	A
LJIJ01001673.1	38712	45.93	47.36	X
LJIJ01001674.1	38660	64.52	39.77	A
LJIJ01001675.1	38654	99.37	59.11	A
LJIJ01001676.1	38634	122.61	69.13	A
LJIJ01001677.1	38600	85.86	47.84	A
LJIJ01001678.1	38592	102.53	50.84	A
LJIJ01001679.1	38559	77.18	51.54	A
LJIJ01001680.1	38553	90.49	47.32	A
LJIJ01001681.1	38552	143.24	59.69	A
LJIJ01001682.1	38534	95.28	57.87	A
LJIJ01001683.1	38462	101.32	52.27	A
LJIJ01001684.1	38434	65.00	76.35	X
LJIJ01001685.1	38418	108.26	55.30	A
LJIJ01001686.1	38413	81.75	40.93	A
LJIJ01001687.1	38407	103.70	60.27	A
LJIJ01001688.1	38383	65.67	47.00	A
LJIJ01001689.1	38346	98.99	57.80	A
LJIJ01001690.1	38308	137.01	53.95	A
LJIJ01001691.1	38305	77.62	41.70	A
LJIJ01001692.1	38289	139.61	40.90	A
LJIJ01001693.1	38270	80.95	88.83	X
LJIJ01001694.1	38206	86.40	57.04	A
LJIJ01001695.1	38205	72.42	59.24	A
LJIJ01001696.1	38200	76.23	59.44	A
LJIJ01001697.1	38189	106.94	58.58	A
LJIJ01001698.1	38179	111.56	154.10	X
LJIJ01001699.1	38151	109.81	59.18	A
LJIJ01001700.1	38135	70.98	46.38	A
LJIJ01001701.1	38120	65.35	59.02	X
LJIJ01001702.1	38077	71.09	49.22	A
LJIJ01001703.1	38047	85.67	47.63	A
LJIJ01001704.1	38033	124.54	49.41	A
LJIJ01001705.1	38030	78.89	48.94	A
LJIJ01001706.1	38027	98.93	54.95	A
LJIJ01001707.1	38011	52.12	42.17	A
LJIJ01001708.1	37983	48.19	77.39	X
LJIJ01001709.1	37983	47.81	121.37	X
LJIJ01001710.1	37978	78.34	45.63	A
LJIJ01001711.1	37970	110.23	53.67	A
LJIJ01001712.1	37934	94.28	51.28	A
LJIJ01001713.1	37920	103.05	60.41	A
LJIJ01001714.1	37890	87.01	49.13	A
LJIJ01001715.1	37881	69.83	37.63	A
LJIJ01001716.1	37859	103.84	57.73	A
LJIJ01001717.1	37836	100.40	56.16	A
LJIJ01001718.1	37834	102.99	52.89	A
LJIJ01001719.1	37820	62.57	29.97	A
LJIJ01001720.1	37791	42.10	43.97	X
LJIJ01001721.1	37751	87.81	43.90	A
LJIJ01001722.1	37732	156.92	65.66	A
LJIJ01001723.1	37723	160.49	58.18	A
LJIJ01001724.1	37721	51.91	51.86	X
LJIJ01001725.1	37706	40.02	44.38	X
LJIJ01001726.1	37610	121.21	52.67	A
LJIJ01001727.1	37558	51.96	53.21	X
LJIJ01001728.1	37530	93.82	43.50	A
LJIJ01001729.1	37519	28.67	71.91	X
LJIJ01001730.1	37504	35.88	72.27	X
LJIJ01001731.1	37489	105.23	58.99	A
LJIJ01001732.1	37431	73.64	47.49	A
LJIJ01001733.1	37419	72.48	44.49	A
LJIJ01001734.1	37378	87.33	43.17	A
LJIJ01001735.1	37353	94.92	47.38	A
LJIJ01001736.1	37335	70.79	48.72	A
LJIJ01001737.1	37325	73.06	42.20	A
LJIJ01001738.1	37310	85.58	44.96	A
LJIJ01001739.1	37302	145.44	46.89	A
LJIJ01001740.1	37299	113.67	65.06	A
LJIJ01001741.1	37284	47.60	51.18	X
LJIJ01001742.1	37282	103.65	49.37	A
LJIJ01001743.1	37249	73.04	39.71	A
LJIJ01001744.1	37207	87.93	113.79	X
LJIJ01001745.1	37202	98.91	36.35	A
LJIJ01001746.1	37170	76.80	53.89	A
LJIJ01001747.1	37148	63.74	56.05	X
LJIJ01001748.1	37121	72.55	37.96	A
LJIJ01001749.1	37083	62.08	42.42	A
LJIJ01001750.1	37072	86.31	52.26	A
LJIJ01001751.1	37049	97.72	57.03	A
LJIJ01001752.1	37024	93.73	50.69	A
LJIJ01001753.1	37018	101.55	51.61	A
LJIJ01001754.1	36994	66.29	58.05	X
LJIJ01001755.1	36992	63.15	38.82	A
LJIJ01001756.1	36974	56.97	53.46	X
LJIJ01001757.1	36939	44.47	24.29	A
LJIJ01001758.1	36918	101.38	59.38	A
LJIJ01001759.1	36910	101.51	46.31	A
LJIJ01001760.1	36877	71.29	38.52	A
LJIJ01001761.1	36870	88.11	51.04	A
LJIJ01001762.1	36851	59.27	29.65	A
LJIJ01001763.1	36850	60.39	36.18	A
LJIJ01001764.1	36847	86.25	51.93	A
LJIJ01001765.1	36837	84.78	49.01	A
LJIJ01001766.1	36829	29.75	34.09	X
LJIJ01001767.1	36820	57.79	30.53	A
LJIJ01001768.1	36817	73.14	36.82	A
LJIJ01001769.1	36747	49.01	50.56	X
LJIJ01001770.1	36705	87.03	45.66	A
LJIJ01001771.1	36699	105.12	56.05	A
LJIJ01001772.1	36685	54.49	57.83	X
LJIJ01001773.1	36676	94.84	46.68	A
LJIJ01001774.1	36668	110.72	48.70	A
LJIJ01001775.1	36655	78.80	45.39	A
LJIJ01001776.1	36649	23.00	53.25	X
LJIJ01001777.1	36626	89.12	68.41	A
LJIJ01001778.1	36568	100.23	56.28	A
LJIJ01001779.1	36524	36.74	23.35	A
LJIJ01001780.1	36509	44.90	38.31	X
LJIJ01001781.1	36473	100.74	52.05	A
LJIJ01001782.1	36455	73.42	38.67	A
LJIJ01001783.1	36452	56.10	69.42	X
LJIJ01001784.1	36445	50.80	37.34	A
LJIJ01001785.1	36411	118.75	71.32	A
LJIJ01001786.1	36403	95.71	40.50	A
LJIJ01001787.1	36386	95.14	51.77	A
LJIJ01001788.1	36380	67.21	30.84	A
LJIJ01001789.1	36361	129.26	73.94	A
LJIJ01001790.1	36340	102.95	60.49	A
LJIJ01001791.1	36325	85.18	56.08	A
LJIJ01001792.1	36318	62.01	55.75	X
LJIJ01001793.1	36317	220.91	128.04	A
LJIJ01001794.1	36282	83.32	56.81	A
LJIJ01001795.1	36266	94.13	41.75	A
LJIJ01001796.1	36266	65.84	40.26	A
LJIJ01001797.1	36266	75.19	32.72	A
LJIJ01001798.1	36243	82.57	42.65	A
LJIJ01001799.1	36225	99.33	49.92	A
LJIJ01001800.1	36216	148.99	58.93	A
LJIJ01001801.1	36192	139.24	93.77	A
LJIJ01001802.1	36175	46.54	46.97	X
LJIJ01001803.1	36164	84.39	32.67	A
LJIJ01001804.1	36119	57.40	51.88	X
LJIJ01001805.1	36109	65.83	46.69	A
LJIJ01001806.1	36067	99.47	43.47	A
LJIJ01001807.1	36061	109.43	75.69	A
LJIJ01001808.1	36059	43.71	47.97	X
LJIJ01001809.1	36032	103.36	49.93	A
LJIJ01001810.1	36000	100.49	48.25	A
LJIJ01001811.1	35993	67.81	64.31	X
LJIJ01001812.1	35983	59.18	51.51	X
LJIJ01001813.1	35975	71.09	30.66	A
LJIJ01001814.1	35956	135.39	37.10	A
LJIJ01001815.1	35934	68.91	40.46	A
LJIJ01001816.1	35916	100.28	58.26	A
LJIJ01001817.1	35873	50.79	53.24	X
LJIJ01001818.1	35856	83.94	44.19	A
LJIJ01001819.1	35800	58.59	42.92	A
LJIJ01001820.1	35697	105.63	57.47	A
LJIJ01001821.1	35695	68.73	48.14	A
LJIJ01001822.1	35691	103.47	52.52	A
LJIJ01001823.1	35670	110.30	33.75	A
LJIJ01001824.1	35656	93.98	47.88	A
LJIJ01001825.1	35652	65.32	37.42	A
LJIJ01001826.1	35650	87.80	47.22	A
LJIJ01001827.1	35641	123.17	88.18	A
LJIJ01001828.1	35588	37.78	38.44	X
LJIJ01001829.1	35568	39.93	40.83	X
LJIJ01001830.1	35539	101.78	56.30	A
LJIJ01001831.1	35507	77.39	69.42	X
LJIJ01001832.1	35487	74.19	39.65	A
LJIJ01001833.1	35471	54.84	49.86	X
LJIJ01001834.1	35460	81.97	47.88	A
LJIJ01001835.1	35430	74.13	54.64	A
LJIJ01001836.1	35419	107.56	34.73	A
LJIJ01001837.1	35398	55.57	62.81	X
LJIJ01001838.1	35396	61.53	38.70	A
LJIJ01001839.1	35387	101.83	62.92	A
LJIJ01001840.1	35384	73.27	57.64	A
LJIJ01001841.1	35380	73.32	41.28	A
LJIJ01001842.1	35375	94.75	66.91	A
LJIJ01001843.1	35362	80.19	41.27	A
LJIJ01001844.1	35359	134.61	50.03	A
LJIJ01001845.1	35353	158.16	61.11	A
LJIJ01001846.1	35333	47.83	52.76	X
LJIJ01001847.1	35306	54.17	32.10	A
LJIJ01001848.1	35291	74.68	45.43	A
LJIJ01001849.1	35271	102.88	94.08	X
LJIJ01001850.1	35256	80.15	42.01	A
LJIJ01001851.1	35213	102.53	52.70	A
LJIJ01001852.1	35187	95.71	56.14	A
LJIJ01001853.1	35182	27.44	41.64	X
LJIJ01001854.1	35166	139.23	60.99	A
LJIJ01001855.1	35161	51.39	55.31	X
LJIJ01001856.1	35159	73.53	46.58	A
LJIJ01001857.1	35124	34.27	40.82	X
LJIJ01001858.1	35115	83.54	47.81	A
LJIJ01001859.1	35072	54.62	55.23	X
LJIJ01001860.1	35070	91.67	46.58	A
LJIJ01001861.1	35051	49.54	35.52	A
LJIJ01001862.1	35046	90.84	35.13	A
LJIJ01001863.1	35027	55.38	42.92	A
LJIJ01001864.1	35022	111.29	55.30	A
LJIJ01001865.1	34997	86.11	43.92	A
LJIJ01001866.1	34994	114.19	65.89	A
LJIJ01001867.1	34979	58.18	50.27	X
LJIJ01001868.1	34954	89.61	43.90	A
LJIJ01001869.1	34932	44.27	46.41	X
LJIJ01001870.1	34910	71.35	61.45	X
LJIJ01001871.1	34897	95.51	78.45	A
LJIJ01001872.1	34886	87.80	51.48	A
LJIJ01001873.1	34835	91.11	49.43	A
LJIJ01001874.1	34799	65.20	37.69	A
LJIJ01001875.1	34796	125.07	60.57	A
LJIJ01001876.1	34785	106.06	54.24	A
LJIJ01001877.1	34770	101.12	57.46	A
LJIJ01001878.1	34743	105.07	45.36	A
LJIJ01001879.1	34729	112.80	59.04	A
LJIJ01001880.1	34707	75.71	40.20	A
LJIJ01001881.1	34707	98.20	49.40	A
LJIJ01001882.1	34704	118.10	64.08	A
LJIJ01001883.1	34690	84.12	43.34	A
LJIJ01001884.1	34656	95.09	62.38	A
LJIJ01001885.1	34640	88.75	45.23	A
LJIJ01001886.1	34634	106.13	55.48	A
LJIJ01001887.1	34614	38.67	34.00	X
LJIJ01001888.1	34610	64.08	37.15	A
LJIJ01001889.1	34599	95.23	38.68	A
LJIJ01001890.1	34598	67.37	47.64	A
LJIJ01001891.1	34586	107.70	53.87	A
LJIJ01001892.1	34571	63.13	26.44	A
LJIJ01001893.1	34565	54.34	59.89	X
LJIJ01001894.1	34563	88.67	56.44	A
LJIJ01001895.1	34561	95.07	44.71	A
LJIJ01001896.1	34533	58.23	36.45	A
LJIJ01001897.1	34494	89.78	47.27	A
LJIJ01001898.1	34480	114.26	61.78	A
LJIJ01001899.1	34453	58.46	58.69	X
LJIJ01001900.1	34450	87.74	46.49	A
LJIJ01001901.1	34434	117.05	52.18	A
LJIJ01001902.1	34428	96.71	52.18	A
LJIJ01001903.1	34423	61.06	55.56	X
LJIJ01001904.1	34408	82.37	43.47	A
LJIJ01001905.1	34403	93.12	49.12	A
LJIJ01001906.1	34395	125.97	79.89	A
LJIJ01001907.1	34351	95.30	31.53	A
LJIJ01001908.1	34321	126.08	53.87	A
LJIJ01001909.1	34318	90.42	48.56	A
LJIJ01001910.1	34223	97.28	34.35	A
LJIJ01001911.1	34223	91.78	52.63	A
LJIJ01001912.1	34169	88.59	52.81	A
LJIJ01001913.1	34144	42.85	45.95	X
LJIJ01001914.1	34143	260.94	80.98	A
LJIJ01001915.1	34136	86.40	49.51	A
LJIJ01001916.1	34118	96.63	48.39	A
LJIJ01001917.1	34107	36.99	45.27	X
LJIJ01001918.1	34098	124.05	66.51	A
LJIJ01001919.1	34066	426.80	226.33	A
LJIJ01001920.1	34056	89.25	44.16	A
LJIJ01001921.1	34033	161.75	103.80	A
LJIJ01001922.1	34032	84.52	47.74	A
LJIJ01001923.1	34029	50.95	52.31	X
LJIJ01001924.1	33956	89.07	49.14	A
LJIJ01001925.1	33927	117.12	68.18	A
LJIJ01001926.1	33910	67.59	54.76	A
LJIJ01001927.1	33870	76.23	53.07	A
LJIJ01001928.1	33849	90.85	52.17	A
LJIJ01001929.1	33825	82.37	44.65	A
LJIJ01001930.1	33823	80.72	47.79	A
LJIJ01001931.1	33806	88.57	47.73	A
LJIJ01001932.1	33773	73.26	39.66	A
LJIJ01001933.1	33770	82.81	42.95	A
LJIJ01001934.1	33767	93.60	48.84	A
LJIJ01001935.1	33754	81.69	51.85	A
LJIJ01001936.1	33752	91.88	46.79	A
LJIJ01001937.1	33727	50.25	54.75	X
LJIJ01001938.1	33716	106.98	40.02	A
LJIJ01001939.1	33709	64.07	32.07	A
LJIJ01001940.1	33671	89.01	42.46	A
LJIJ01001941.1	33642	62.59	52.61	X
LJIJ01001942.1	33641	99.03	55.75	A
LJIJ01001943.1	33631	66.21	60.73	X
LJIJ01001944.1	33627	75.18	47.51	A
LJIJ01001945.1	33602	115.58	85.36	A
LJIJ01001946.1	33589	91.72	49.72	A
LJIJ01001947.1	33588	39.93	29.86	A
LJIJ01001948.1	33584	110.40	62.04	A
LJIJ01001949.1	33563	75.11	55.92	A
LJIJ01001950.1	33533	70.80	53.00	A
LJIJ01001951.1	33528	105.41	59.00	A
LJIJ01001952.1	33505	46.59	40.16	X
LJIJ01001953.1	33463	113.41	57.19	A
LJIJ01001954.1	33453	108.94	58.11	A
LJIJ01001955.1	33443	77.19	58.05	A
LJIJ01001956.1	33434	88.69	56.90	A
LJIJ01001957.1	33409	48.54	21.19	A
LJIJ01001958.1	33377	93.37	47.31	A
LJIJ01001959.1	33357	133.76	66.91	A
LJIJ01001960.1	33331	86.30	44.25	A
LJIJ01001961.1	33331	88.31	78.92	X
LJIJ01001962.1	33313	81.93	62.78	A
LJIJ01001963.1	33302	100.20	48.86	A
LJIJ01001964.1	33276	76.05	38.71	A
LJIJ01001965.1	33251	66.26	67.80	X
LJIJ01001966.1	33242	73.04	46.85	A
LJIJ01001967.1	33232	100.36	50.57	A
LJIJ01001968.1	33198	20.11	25.78	X
LJIJ01001969.1	33185	45.25	48.08	X
LJIJ01001970.1	33175	88.78	66.45	A
LJIJ01001971.1	33099	124.47	59.24	A
LJIJ01001972.1	33089	83.05	58.26	A
LJIJ01001973.1	33050	71.30	40.21	A
LJIJ01001974.1	33048	89.06	52.47	A
LJIJ01001975.1	33040	52.45	38.49	A
LJIJ01001976.1	33036	121.54	48.60	A
LJIJ01001977.1	33019	65.03	46.00	A
LJIJ01001978.1	33015	87.69	41.67	A
LJIJ01001979.1	32987	70.84	37.48	A
LJIJ01001980.1	32981	48.56	68.83	X
LJIJ01001981.1	32967	67.00	33.53	A
LJIJ01001982.1	32964	100.48	55.38	A
LJIJ01001983.1	32957	84.52	45.94	A
LJIJ01001984.1	32946	152.49	35.85	A
LJIJ01001985.1	32908	101.44	48.68	A
LJIJ01001986.1	32903	43.43	50.80	X
LJIJ01001987.1	32898	77.19	53.32	A
LJIJ01001988.1	32892	102.45	47.76	A
LJIJ01001989.1	32807	96.34	39.85	A
LJIJ01001990.1	32804	81.79	45.69	A
LJIJ01001991.1	32791	54.26	41.78	A
LJIJ01001992.1	32785	160.26	62.05	A
LJIJ01001993.1	32780	68.57	43.57	A
LJIJ01001994.1	32764	94.40	60.78	A
LJIJ01001995.1	32763	54.12	80.59	X
LJIJ01001996.1	32752	138.10	67.33	A
LJIJ01001997.1	32749	105.59	46.61	A
LJIJ01001998.1	32739	56.01	46.19	A
LJIJ01001999.1	32733	50.28	51.11	X
LJIJ01002000.1	32721	75.02	42.58	A
LJIJ01002001.1	32699	143.64	71.46	A
LJIJ01002002.1	32698	84.80	40.09	A
LJIJ01002003.1	32687	85.64	49.10	A
LJIJ01002004.1	32681	96.42	58.61	A
LJIJ01002005.1	32670	94.56	52.23	A
LJIJ01002006.1	32658	207.34	107.10	A
LJIJ01002007.1	32655	18.35	51.18	X
LJIJ01002008.1	32642	169.53	36.12	A
LJIJ01002009.1	32623	100.60	57.65	A
LJIJ01002010.1	32620	73.13	46.86	A
LJIJ01002011.1	32611	94.47	49.83	A
LJIJ01002012.1	32608	67.94	62.97	X
LJIJ01002013.1	32608	104.54	32.59	A
LJIJ01002014.1	32605	120.87	48.43	A
LJIJ01002015.1	32592	114.08	67.35	A
LJIJ01002016.1	32574	23.53	67.48	X
LJIJ01002017.1	32562	89.25	42.62	A
LJIJ01002018.1	32522	46.16	32.21	A
LJIJ01002019.1	32504	33.80	76.79	X
LJIJ01002020.1	32503	82.78	42.40	A
LJIJ01002021.1	32489	22.55	66.74	X
LJIJ01002022.1	32466	74.99	38.46	A
LJIJ01002023.1	32446	52.76	34.85	A
LJIJ01002024.1	32432	95.47	43.90	A
LJIJ01002025.1	32384	80.93	41.12	A
LJIJ01002026.1	32353	70.35	63.00	X
LJIJ01002027.1	32340	32.56	20.64	A
LJIJ01002028.1	32339	116.58	65.73	A
LJIJ01002029.1	32284	90.54	53.98	A
LJIJ01002030.1	32255	70.02	37.58	A
LJIJ01002031.1	32251	13.47	46.66	X
LJIJ01002032.1	32230	119.09	64.99	A
LJIJ01002033.1	32216	98.16	54.24	A
LJIJ01002034.1	32211	71.47	59.30	A
LJIJ01002035.1	32210	47.56	20.55	A
LJIJ01002036.1	32198	104.85	126.52	X
LJIJ01002037.1	32190	103.14	59.15	A
LJIJ01002038.1	32178	48.37	52.44	X
LJIJ01002039.1	32176	33.91	25.24	A
LJIJ01002040.1	32176	130.12	51.43	A
LJIJ01002041.1	32171	39.77	38.79	X
LJIJ01002042.1	32147	56.34	35.76	A
LJIJ01002043.1	32143	86.24	50.92	A
LJIJ01002044.1	32142	80.87	31.32	A
LJIJ01002045.1	32050	75.34	38.99	A
LJIJ01002046.1	32045	55.95	66.60	X
LJIJ01002047.1	32035	66.25	38.06	A
LJIJ01002048.1	32024	102.82	55.61	A
LJIJ01002049.1	32018	92.43	43.16	A
LJIJ01002050.1	31992	95.22	49.87	A
LJIJ01002051.1	31985	71.56	37.74	A
LJIJ01002052.1	31969	81.21	46.30	A
LJIJ01002053.1	31965	52.26	56.86	X
LJIJ01002054.1	31962	99.60	49.65	A
LJIJ01002055.1	31951	159.21	42.01	A
LJIJ01002056.1	31936	45.01	58.37	X
LJIJ01002057.1	31912	70.52	44.61	A
LJIJ01002058.1	31891	60.04	49.46	A
LJIJ01002059.1	31879	144.82	53.44	A
LJIJ01002060.1	31870	142.65	60.65	A
LJIJ01002061.1	31869	62.91	50.55	A
LJIJ01002062.1	31827	52.46	57.58	X
LJIJ01002063.1	31768	40.30	59.58	X
LJIJ01002064.1	31759	103.09	52.48	A
LJIJ01002065.1	31757	144.13	63.42	A
LJIJ01002066.1	31716	157.72	42.15	A
LJIJ01002067.1	31689	63.29	49.95	A
LJIJ01002068.1	31682	99.70	47.31	A
LJIJ01002069.1	31679	94.52	47.91	A
LJIJ01002070.1	31673	54.49	44.90	A
